fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2019,709393,234023,,07/01/2019,06/30/2020,4,61664281.0,46922886.0,77745.0,,,5174.0,,6389.0,9651.632649866959
2019,709456,420004,,07/01/2019,06/30/2020,10,1608562414.0,1787048379.0,269011.0,,8062920.0,50686.0,22318.0,38490.0,41791.696908287864
2019,709500,490005,,10/01/2018,09/30/2019,2,623421531.0,614063719.0,141985.0,,9429464.0,52044.0,19254.0,21150.0,29476.195319148937
2019,709519,010103,,01/01/2019,12/31/2019,1,240738041.0,229811787.0,101835.0,,3046264.0,17946.0,12896.0,13817.0,17423.32206701889
2019,709539,050305,,01/01/2019,12/31/2019,2,657237808.0,735090521.0,126167.0,,2561016.0,12543.0,13242.0,9983.0,65835.70149253731
2019,709551,050738,,07/01/2019,06/30/2020,4,66858595.0,67812522.0,38064.0,,443432.0,3627.0,,2636.0,25363.65515933232
2019,709621,282003,,07/01/2019,06/30/2020,1,168263028.0,166228760.0,17568.0,,,7729.0,,438.0,384162.16438356164
2019,709633,314024,,01/01/2019,12/31/2019,9,26988778.0,33007203.0,30660.0,,,484.0,26.0,165.0,163568.3515151515
2019,709668,452121,,02/01/2019,01/31/2020,2,9825599.0,9422281.0,9125.0,,,4059.0,,234.0,41989.73931623931
2019,709678,490032,,07/01/2019,06/30/2020,13,1576398502.0,1898243753.0,253751.0,,7071592.0,52315.0,11344.0,35063.0,44959.03094430026
2019,709682,490063,,01/01/2019,12/31/2019,2,1721598676.0,1684473021.0,304045.0,,12534672.0,70216.0,40097.0,46546.0,36987.03811283461
2019,709698,144005,,01/01/2019,12/23/2019,4,20453484.0,32340078.0,57477.0,,,2033.0,1778.0,2853.0,7169.11461619348
2019,709709,352004,,08/01/2019,07/31/2020,4,24942091.0,14475304.0,11346.0,,,3728.0,651.0,307.0,81244.59609120521
2019,709717,452060,,08/01/2019,07/31/2020,4,-16119759.0,16432441.0,26352.0,,,7373.0,,470.0,-34297.359574468086
2019,709733,140240,,01/28/2019,08/13/2019,4,17328442.0,30735562.0,23958.0,,315060.0,2561.0,377.0,1201.0,14428.344712739385
2019,709781,234021,,07/01/2019,06/30/2020,4,33815913.0,26947994.0,49044.0,,,8361.0,17944.0,3916.0,8635.319969356486
2019,709790,282000,,07/01/2019,06/30/2020,1,168263028.0,166228760.0,31476.0,,,8508.0,,410.0,410397.6292682927
