ccn,first_year,last_year,n_years,any_merger,treated,fac_name,unaccounted_disappearance,likely_missed_merger,disappearance_year
330316,2011,2013,3,0,0,NEW YORK WESTCHESTER SQUARE MEDICAL CENTER,1,1,2014
330340,2011,2017,7,0,0,SOUTHAMPTON HOSPITAL,1,1,2018
330353,2011,2015,5,0,0,FOREST HILLS HOSPITAL,1,1,2016
330372,2011,2015,5,0,0,FRANKLIN HOSPITAL,1,1,2016
330404,2011,2015,5,0,0,WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL,1,1,2016
330408,2011,2017,7,0,0,,1,1,2018
331306,2011,2018,7,0,0,MOSES-LUDINGTON HOSPITAL,1,1,2019
332014,2011,2015,5,0,0,,1,1,2016
332016,2012,2015,4,0,0,,1,1,2016
334055,2011,2013,3,0,0,,1,1,2014
334059,2011,2013,3,0,0,,1,1,2014
340011,2011,2015,5,0,0,SPRUCE PINE COMMUNITY HOSPITAL,1,1,2016
340036,2011,2015,5,0,0,FRANKLIN REGIONAL MEDICAL CENTER,1,1,2016
340106,2011,2017,7,0,1,SANDHILLS REGIONAL MEDICAL CENTER,0,0,2018
340153,2011,2014,4,0,0,PRESBYTERIAN-ORTHOPAEDIC HOSPITAL,1,1,2015
340160,2011,2014,4,1,1,MURPHY MEDICAL CENTER INC,0,0,2015
341302,2011,2018,8,0,0,OUR COMMUNITY HOSPITAL,1,1,2019
341308,2011,2015,5,0,0,YADKIN VALLEY COMMUNITY HOSPITAL,1,1,2016
341310,2011,2014,4,1,1,PUNGO DISTRICT HOSPITAL,0,0,2015
341313,2011,2013,3,0,0,DAVIE COUNTY HOSPITAL,1,1,2014
341321,2011,2013,3,1,1,BLOWING ROCK HOSPITAL,0,0,2014
342014,2011,2018,8,0,0,,1,1,2019
342016,2011,2016,6,0,0,,1,1,2017
342019,2011,2018,8,0,0,,1,1,2019
344001,2011,2016,6,0,0,,1,1,2017
344031,2016,2018,3,0,0,,1,1,2019
360019,2011,2015,5,0,0,SUMMA HEALTH SYSTEM BARBERTON HOSPITAL,1,1,2016
360052,2011,2018,8,0,1,GOOD SAMARITAN HOSPITAL,0,0,2019
360074,2011,2018,8,0,0,FLOWER HOSPITAL,1,1,2019
360113,2011,2013,3,0,0,MERCY FRANCISCAN HOSPITAL WESTERN HILLS,1,1,2014
360116,2011,2013,3,1,1,BROWN COUNTY REGIONAL HEALTHCARE,0,0,2014
360141,2011,2018,8,0,1,NORTHSIDE MEDICAL CENTER,0,0,2019
360151,2011,2017,7,0,0,AFFINITY MEDICAL CENTER,1,1,2018
360153,2011,2018,8,0,0,BELMONT COMMUNITY HOSPITAL,1,1,2019
360195,2011,2014,4,0,0,SUMMA WADSWORTH-RITTMAN HOSPITAL,1,1,2015
360212,2011,2016,6,0,0,LAKEWOOD HOSPITAL,1,1,2017
360274,2011,2018,8,0,0,MEDICAL CENTER AT ELIZABETH PLACE,1,1,2019
361303,2011,2018,7,0,1,LODI COMMUNITY HOSPITAL,0,0,2019
361305,2011,2013,3,0,0,DOCTORS HOSPITAL OF NELSONVILLE,1,1,2014
362014,2011,2018,8,0,0,,1,1,2019
362021,2011,2016,6,0,0,,1,1,2017
362034,2011,2017,7,0,0,,1,1,2018
362039,2011,2016,6,0,0,,1,1,2017
363032,2011,2014,4,0,0,,1,1,2015
364046,2012,2014,3,0,0,,1,1,2015
370007,2011,2016,6,0,0,NEWMAN MEMORIAL HOSPITAL,1,1,2017
370011,2011,2018,8,0,0,MERCY HOSPITAL EL RENO,1,1,2019
370032,2011,2018,8,0,1,DEACONESS HOSPITAL,0,0,2019
370036,2011,2016,6,0,0,HARMON MEMORIAL HOSPITAL,1,1,2017
370040,2011,2016,6,0,0,EASTERN OKLAHOMA MEDICAL CENTER,1,1,2017
370048,2011,2017,7,0,0,MCCURTAIN MEMORIAL HOSPITAL,1,1,2018
370051,2011,2016,6,0,0,MEMORIAL HOSPITAL & PHYSICIAN GROUP,1,1,2017
370065,2011,2016,6,0,1,CRAIG GENERAL HOSPITAL,0,0,2017
370072,2011,2016,6,0,0,LATIMER COUNTY GENERAL HOSPITAL,1,1,2017
370080,2011,2017,7,0,0,SHARE MEMORIAL HOSPITAL,1,1,2018
370103,2011,2016,6,0,1,"SAYRE MEMORIAL HOSPITAL, INC",0,0,2017
370138,2011,2016,6,0,0,MEMORIAL HOSPITAL OF TEXAS COUNTY,1,1,2017
370156,2011,2018,8,0,0,PAULS VALLEY GENERAL HOSPITAL,1,1,2019
370169,2011,2016,6,0,0,EPIC MEDICAL CENTER,1,1,2017
370233,2011,2017,7,0,0,PINNACLE SPECIALTY HOSPITAL,1,1,2018
371311,2011,2017,7,0,1,JEFFERSON COUNTY HOSPITAL,0,0,2018
371318,2011,2018,8,0,0,FAIRFAX COMMUNITY HOSPITAL,1,1,2019
372011,2011,2017,7,0,0,,1,1,2018
372017,2011,2016,6,0,0,,1,1,2017
372021,2011,2016,6,0,0,,1,1,2017
373026,2011,2016,6,0,0,,1,1,2017
374024,2015,2018,4,0,0,,1,1,2019
390008,2011,2018,8,0,0,ELLWOOD CITY HOSPITAL,1,1,2019
390019,2011,2016,6,0,0,PALMERTON HOSPITAL,1,1,2017
390031,2011,2017,7,0,1,SCHUYLKILL MEDICAL CENTER - EAST NORWEGIAN STREET,0,0,2018
390043,2011,2016,6,0,1,SOLDIERS AND SAILORS MEMORIAL HOSPITAL,0,0,2017
390061,2011,2018,8,0,1,LANCASTER REGIONAL MEDICAL CENTER,0,0,2019
390118,2011,2017,7,0,0,BRADFORD REGIONAL MEDICAL CENTER,1,1,2018
390122,2011,2014,4,0,0,TITUSVILLE HOSPITAL,1,1,2015
390132,2011,2015,5,0,0,ST JOSEPH'S HOSPITAL,1,1,2016
390154,2011,2015,5,0,0,ELK REGIONAL HEALTH CENTER,1,1,2016
390258,2011,2018,8,0,1,ST MARY MEDICAL CENTER,0,0,2019
390263,2011,2017,7,0,0,LEHIGH VALLEY HOSPITAL - MUHLENBERG,1,1,2018
390302,2011,2018,7,0,0,BARIX CLINICS OF PENNSYLVANIA,1,1,2019
390318,2011,2013,3,0,0,WESTFIELD HOSPITAL,1,1,2014
391311,2011,2013,3,0,1,MID-VALLEY HOSPITAL,0,0,2014
392024,2011,2018,8,0,0,,1,1,2019
392034,2011,2013,3,0,0,,1,1,2014
392038,2011,2017,7,0,0,,1,1,2018
392041,2011,2016,6,0,0,,1,1,2017
392042,2011,2014,4,0,0,,1,1,2015
392046,2011,2018,8,0,0,,1,1,2019
392049,2011,2014,4,0,0,,1,1,2015
393308,2011,2018,8,0,0,,1,1,2019
394007,2011,2018,8,0,0,,1,1,2019
394048,2011,2018,8,0,0,,1,1,2019
400009,2011,2015,5,0,0,,1,1,2016
400024,2011,2013,3,0,0,,1,1,2014
400026,2011,2015,5,0,0,,1,1,2016
400121,2011,2014,4,0,0,,1,1,2015
410001,2011,2018,8,0,1,MEMORIAL HOSPITAL OF RHODE ISLAND,0,0,2019
420016,2011,2015,5,0,0,BARNWELL COUNTY HOSPITAL,1,1,2016
420039,2011,2015,5,0,1,WALLACE THOMSON HOSPITAL,0,0,2016
420054,2011,2013,3,0,0,MARLBORO PARK HOSPITAL,1,1,2014
420062,2011,2014,4,0,0,CHESTERFIELD GENERAL HOSPITAL,1,1,2015
420069,2011,2016,6,0,1,CLARENDON MEMORIAL HOSPITAL,0,0,2017
420083,2011,2018,8,0,1,MARY BLACK MEMORIAL HOSPITAL,0,0,2019
424003,2011,2015,5,0,0,,1,1,2016
430081,2011,2017,7,0,0,PHS INDIAN HOSPITAL AT PINE RIDGE,1,1,2018
430092,2011,2015,5,0,0,DAKOTA PLAINS SURGICAL CENTER LLP,1,1,2016
430094,2011,2013,3,0,0,SPEARFISH REGIONAL SURGERY CENTER,1,1,2014
430096,2011,2017,7,0,0,LEWIS AND CLARK SPECIALTY HOSPITAL,1,1,2018
440025,2011,2018,8,0,1,"LAUGHLIN MEMORIAL HOSPITAL, INC",0,0,2019
440047,2011,2013,3,0,0,GIBSON GENERAL HOSPITAL,1,1,2014
