ccn,fac_name,change_year,prev_year,ownership_before,ownership_after,ctrl_type_before,ctrl_type_after,any_merger,treated,unaccounted_ownership_change
100316,PALM BAY HOSPITAL,2012,2011.0,non_profit,government,2.0,7,0,0,1
100316,PALM BAY HOSPITAL,2013,2012.0,government,non_profit,7.0,2,0,0,1
101304,CALHOUN-LIBERTY HOSPITAL,2016,2015.0,government,non_profit,9.0,2,1,1,0
101312,FISHERMEN'S HOSPITAL,2012,2011.0,for_profit,non_profit,4.0,2,0,0,1
102001,,2012,2011.0,government,for_profit,10.0,4,0,0,1
102003,,2012,2011.0,for_profit,government,4.0,10,0,0,1
102003,,2013,2012.0,government,for_profit,10.0,4,0,0,1
102016,,2012,2011.0,non_profit,for_profit,1.0,4,0,0,1
102017,,2012,2011.0,government,for_profit,10.0,4,0,0,1
102020,,2012,2011.0,for_profit,government,4.0,10,0,0,1
102020,,2013,2012.0,government,for_profit,10.0,4,0,0,1
102024,,2012,2011.0,for_profit,government,4.0,10,0,0,1
102024,,2013,2012.0,government,for_profit,10.0,4,0,0,1
103303,,2013,2012.0,for_profit,non_profit,6.0,2,0,0,1
103303,,2015,2014.0,non_profit,for_profit,2.0,4,0,0,1
103303,,2017,2016.0,for_profit,non_profit,4.0,2,0,0,1
104008,,2014,2013.0,non_profit,for_profit,2.0,4,0,0,1
104008,,2016,2015.0,for_profit,non_profit,4.0,2,0,0,1
104032,,2013,2012.0,non_profit,government,2.0,10,0,0,1
110003,MEMORIAL SATILLA HEALTH,2018,2017.0,government,for_profit,9.0,4,0,1,0
110025,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,2017,2016.0,government,non_profit,8.0,2,0,0,1
110031,WELLSTAR SPALDING REGIONAL HOSPITAL,2017,2016.0,for_profit,non_profit,4.0,2,0,1,0
110040,NORTHRIDGE MEDICAL CENTER,2015,2014.0,for_profit,non_profit,4.0,2,0,0,1
110044,PHOEBE SUMTER MEDICAL CENTER,2018,2017.0,government,non_profit,9.0,2,0,1,0
110045,NORTHEAST GEORGIA MEDICAL CENTER BARROW,2017,2016.0,for_profit,non_profit,4.0,2,1,1,0
110046,"PIEDMONT WALTON HOSPITAL, INC",2019,2018.0,for_profit,non_profit,4.0,2,0,1,0
110087,NORTHSIDE HOSPITAL GWINNETT,2019,2018.0,government,non_profit,9.0,2,1,1,0
110089,COFFEE REGIONAL MEDICAL CENTER,2013,2012.0,government,non_profit,9.0,2,0,0,1
110091,PIEDMONT ROCKDALE HOSPITAL,2018,2017.0,for_profit,non_profit,4.0,2,0,1,0
110095,TIFT REGIONAL MEDICAL CENTER,2019,2018.0,government,non_profit,9.0,2,0,0,1
110101,COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR,2012,2011.0,for_profit,government,4.0,9,1,1,0
