fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2017,648107,161322,,07/01/2017,06/30/2018,9,11737768.0,14933850.0,9125.0,9802.0,,420.0,1.0,126.0,93156.88888888889
2017,648148,363042,,05/09/2017,06/30/2017,5,999577.0,1931376.0,3180.0,,,470.0,,67.0,14919.059701492537
2017,648168,501315,,01/01/2017,12/31/2017,11,17744522.0,20196492.0,5110.0,16886.0,,1848.0,24.0,221.0,80291.95475113123
2017,648183,134002,,10/01/2016,09/30/2017,4,28134016.0,18455301.0,55115.0,,,6983.0,6338.0,3990.0,7051.131829573935
2017,648190,161324,,10/01/2016,09/30/2017,2,10693400.0,10927526.0,9150.0,6435.0,,720.0,5.0,95.0,112562.1052631579
2017,648193,192016,,06/01/2017,05/31/2018,4,9620514.0,9372364.0,11680.0,,,6328.0,123.0,352.0,27331.00568181818
2017,648195,222027,,01/01/2017,12/31/2017,4,46649827.0,43693073.0,66430.0,,,13553.0,9441.0,1210.0,38553.57603305785
2017,648236,052044,,04/01/2017,03/31/2018,4,51585238.0,45983829.0,40150.0,,,11637.0,200.0,702.0,73483.24501424501
2017,648258,174006,,07/01/2017,06/30/2018,10,3277858.0,64668638.0,36135.0,,,3031.0,911.0,1084.0,3023.8542435424356
2017,648259,174016,,07/01/2017,06/30/2018,2,19681642.0,20361722.0,21900.0,,,912.0,,650.0,30279.44923076923
2017,648288,281306,,07/01/2017,06/30/2018,9,9823430.0,12286528.0,3650.0,5129.0,,742.0,1.0,87.0,112912.98850574713
2017,648351,344007,,01/01/2017,12/31/2017,4,27977758.0,23278568.0,47620.0,,,8386.0,666.0,4788.0,5843.307852965748
2017,648354,371336,,01/01/2017,12/31/2017,12,37969551.0,30769555.0,9125.0,8304.0,,401.0,16.0,123.0,308695.53658536583
2017,648363,451345,,01/01/2017,12/31/2017,2,4292012.0,6136900.0,9125.0,8544.0,,413.0,2.0,93.0,46150.666666666664
2017,648364,451369,,01/01/2017,12/31/2017,2,16523601.0,28366393.0,9150.0,49896.0,,800.0,113.0,725.0,22791.173793103448
2017,648376,104080,,08/18/2017,05/31/2018,4,4331743.0,7521589.0,14600.0,,,1007.0,,922.0,4698.202819956616
2017,648380,161315,,07/01/2017,06/30/2018,9,10396092.0,11972116.0,9125.0,5016.0,,570.0,1.0,71.0,146423.8309859155
2017,648381,161345,,07/01/2017,06/30/2018,2,9956156.0,12716982.0,9125.0,17568.0,,612.0,8.0,219.0,45461.899543379
2017,648382,164002,,07/01/2017,06/30/2018,10,,15336151.0,13140.0,,,1213.0,4694.0,357.0,
