fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge,ccn,fac_name,hrrcode,merger_target,merger_of_equals,bankruptcy,system_exit,system_split,system_id_yr,any_merger,merger_year,treated,years_to_merger,post_merger,match_pair_id
2011,519767,430095,,10/01/2010,06/30/2011,4,49008052.0,38694174.0,15015.0,,1095724.0,4782.0,89.0,2200.0,22276.387272727272,430095,AVERA HEART HOSPITAL OF SOUTH DAKOTA LLC,371.0,0,0,0,0,0,322.0,0,,0,,0,843
2011,519812,112014,,03/01/2011,02/29/2012,4,15542186.0,13512519.0,14640.0,,,5872.0,,245.0,63437.49387755102,112014,,,0,0,0,0,0,,0,,0,,0,312
2011,519843,452074,,03/01/2011,02/29/2012,4,100889369.0,102937374.0,105042.0,,,47933.0,,2578.0,39134.74359968968,452074,,,0,0,0,0,0,,0,,0,,0,992
2011,519926,210016,,01/01/2011,12/31/2011,1,236779096.0,239703999.0,100725.0,,3385652.0,28835.0,12970.0,16249.0,14571.91802572466,210016,WASHINGTON ADVENTIST HOSPITAL,226.0,0,0,0,0,0,132.0,0,,0,,0,2
2011,520003,312017,,01/01/2011,12/31/2011,4,23527986.0,19928514.0,18250.0,,,8313.0,,335.0,70232.79402985075,312017,,,0,0,0,0,0,,0,,0,,0,862
2011,520150,264012,,01/01/2011,12/31/2011,4,30788967.0,31296504.0,49560.0,,,6402.0,7101.0,2294.0,13421.520052310374,264012,,,0,0,0,0,0,,0,,0,,0,279
2011,520173,271337,,10/01/2010,09/30/2011,2,5906620.0,6871696.0,7300.0,10824.0,,821.0,65.0,185.0,31927.675675675677,271337,NORTHERN ROCKIES MEDICAL CENTER,275.0,0,0,0,0,0,2224.0,0,,0,,0,38
2011,520188,331311,,01/01/2011,12/31/2011,2,26360552.0,26963445.0,9125.0,94752.0,,4282.0,308.0,1014.0,25996.59960552268,331311,LITTLE FALLS HOSPITAL,300.0,0,0,0,0,0,323.0,0,,0,,0,923
2011,520920,51331,,01/01/2011,12/31/2011,2,13249267.0,12870984.0,4015.0,24072.0,,648.0,,304.0,43583.11513157895,51331,SANTA YNEZ VALLEY COTTAGE HOSPITAL,86.0,0,0,0,0,0,24.0,0,,0,,0,777
2011,520950,181308,,03/01/2011,02/29/2012,4,16917173.0,15380260.0,9150.0,42096.0,,1275.0,57.0,371.0,45598.84905660377,181308,BLUEGRASS COMMUNITY HOSPITAL,204.0,0,0,0,0,0,99.0,0,,0,,0,361
2011,520982,131328,,10/01/2010,12/31/2011,2,52993973.0,53655874.0,11425.0,154346.81,,2725.0,1353.0,2542.0,20847.353658536584,131328,BONNER GENERAL HOSPITAL,440.0,0,0,0,0,0,2276.0,0,,0,,0,163
2011,520996,234038,,01/01/2011,12/31/2011,5,16464826.0,14658777.0,32850.0,,,5654.0,,2292.0,7183.606457242583,234038,,,0,0,0,0,0,,0,,0,,0,370
2011,521001,372021,,06/01/2011,05/31/2012,4,17810739.0,16527218.0,18300.0,,,10405.0,67.0,501.0,35550.377245508986,372021,,,0,0,0,0,0,,0,,0,,0,730
2011,521056,452035,,04/01/2011,03/31/2012,4,20712552.0,21841432.0,15738.0,,,6150.0,88.0,302.0,68584.60927152318,452035,,,0,0,0,0,0,,0,,0,,0,42
2011,521075,210043,,07/01/2011,06/30/2012,2,336091825.0,325037010.0,112728.0,,6676072.0,42643.0,2764.0,19359.0,17361.01167415672,210043,BALTIMORE WASHINGTON  MEDICAL CENTER,223.0,0,0,0,0,0,134.0,0,,0,,0,492
